Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ґереґа,Пармен,Михайлович,Чоловіча,19.03.1991,Палеонтолог,село Яворів,"узвіз Бодаревського, буд. 0, Ічня, 64584",+380 48 751 54 19,dhavryliv@example.com
Атаманюк,Ліза,Олегівна,Жіноча,12.06.1993,Гірничий інженер,селище Чорнобиль,"парк Дніпропетровська дорога, буд. 155 кв. 503, Рівне, 10375",+380 (12) 367-93-01,hennadii34@example.net
Кириленко,Наталія,Михайлівна,Жіноча,23.04.1979,Графік,хутір Хорол ,"шосе Керченська, буд. 9, Павлоград, 93347",648 89 27,cvitruk@example.com
Шутько,Зиновій,Михайлович,Чоловіча,31.03.1964,Вчитель,село Армянськ,"шосе Нафтовиків, буд. 5, Виноградів, 56939",004 946 39 25,chervonenkosemen@example.net
Давимука,Владислав,Андрійович,Чоловіча,06.05.1998,Круп'є,село Рава-Руська,"вулиця Усатівська, буд. 537 кв. 7, Ялта, 87048",+380 (14) 986-37-41,vonyshchenko@example.org
Михайлюк,Хома,Сергійович,Чоловіча,04.10.1977,Сантехнік,хутір Помічна,"проспект Аграрна, буд. 4 кв. 09, Горішні Плавні, 06161",047 174-14-85,ielysavetamazepa@example.org
Забара,Георгій,Олегович,Чоловіча,26.12.2001,Золотар,селище Інкерман,"сквер Шкіперська, буд. 539 кв. 29, Берислав, 47767",+380 71 168-12-62,amaliiaiaremchuk@example.net
Андрійович,Руслан,Сергійович,Чоловіча,28.09.1958,Електрик,хутір Боково-Хрустальне,"парк Стельмаха, буд. 8 кв. 16, Токмак, 79219",+380 19 562-98-90,xhuz@example.com
Товстоліс,Єва,Андріївна,Жіноча,15.05.1990,Клоун,село Знам'янка,"парк Бірюкова, буд. 92 кв. 5, Ніжин, 75314",+380 58 500-95-03,sofiiasalii@example.com
Лесик,Тимофій,Іванович,Чоловіча,01.06.2003,Гінеколог,хутір Кілія,"сквер Іванова, буд. 6 кв. 656, Сміла, 93285",+380 (12) 603-39-09,arsenychbohodar@example.com
Литвиненко,Петро,Андрійович,Чоловіча,16.07.1941,Локсмайстер,селище Вільнянськ,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 891 кв. 55, Біла Церква, 28245",+380 (48) 255-57-06,zorianzabashta@example.net
Скирда,Пилип,Денисович,Чоловіча,27.07.1998,Астронавт,місто Буча,"площа Красна, буд. 24 кв. 788, Зіньків, 92925",+380 62 753 77 14,vlysenko@example.net
Супруненко,Володимира,Олегівна,Жіноча,14.09.1965,Географ,місто Першотравенськ,"проспект 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 667, Сторожинець, 32349",+380 (57) 663-48-58,varfolomii72@example.net
Давимука,Григорій,Михайлович,Чоловіча,31.12.2007,Будник,село Перевальськ,"вулиця Лузанівський 1-й, буд. 4, Кіцмань, 63499",+380 43 633 90 88,cbaran@example.org
Терещук,Захар,Іванович,Чоловіча,29.04.1989,Математик,село Іловайськ,"площа Пушкінська, буд. 5 кв. 512, Бар, 39925",+380 89 895-81-40,pchumak@example.org
Ажажа,Назар,Артемович,Чоловіча,06.09.1956,Публіцист,місто Сватове,"вулиця Косвена, буд. 69, Токмак, 74625",065 880-67-79,myron42@example.net
Бабариченко,Зорян,Іванович,Чоловіча,03.12.1938,Соціолог,місто Лиман ,"шосе Василя Кандинського 2-й, буд. 3, Гнівань, 94844",014 742-74-03,dupliioksana@example.net
Чумак,Дарина,Олегівна,Жіноча,22.07.2003,Сантехнік,хутір Перевальськ,"узвіз Садиковська, буд. 463, Могилів-Подільський, 73777",094 494-62-88,iemelianenkosemen@example.org
Орлик,Олександр,Сергійович,Чоловіча,09.11.1949,Гицель,селище Прилуки,"набережна Академіка Ясиновського, буд. 2 кв. 2, Кальміуське, 75812",024 648 94 55,eandriienko@example.net
Ванченко,Кирило,Васильович,Чоловіча,27.07.1994,Мікробіолог,селище Бобровиця,"площа Соляний 2-й, буд. 4, Городок, 90952",064 305-43-63,okhrim71@example.org
Піддубний,Єва,Денисівна,Жіноча,25.05.1958,Дантист,село Вознесенівка,"вулиця Академіка Вільямса, буд. 1, Валки , 80996",+380 37 961-79-95,barannykhennadii@example.com
Батіг,Валентин,Олегович,Чоловіча,13.11.1955,Зоолог,село Миколаївка ,"вулиця Декабристів, буд. 802, Новоукраїнка, 48693",090 614-03-45,iefymenkoamvrosii@example.org
Рак,Богданна,Іванівна,Жіноча,15.01.1989,Прокурор,хутір Білгород-Дністровський,"парк Місячна, буд. 953, Тростянець, 54663",130-32-07,hlib86@example.net
Чуйко,Альберт,Іванович,Чоловіча,23.05.2003,Сантехнік,хутір Тернівка ,"проспект Ланжеронівська, буд. 833 кв. 196, Інкерман, 31072",047 674-60-91,oles69@example.com
Базилевич,Левко,Олегович,Чоловіча,28.05.1956,Епідеміолог,селище Вугледар,"парк Грецька, буд. 2 кв. 8, Яворів, 44398",367-64-81,borysasaula@example.org
Цюпа,Володимира,Іванівна,Жіноча,14.02.2005,Математик,селище Лисичанськ,"площа Чорноморський 8-й, буд. 6, Монастирище, 36073",+380 32 099-45-24,dubasliubov@example.com
Шовкопляс,Лесь,Михайлович,Чоловіча,23.06.1974,Ювелір,місто Апостолове,"парк Кощового отамана, буд. 46 кв. 9, Дрогобич, 73470",+380 39 035-42-57,chernenkorozaliia@example.com
Теличенко,Валентин,Ярославович,Чоловіча,26.07.1938,Гірник,хутір Лутугине,"парк Анни Ахматової, буд. 91 кв. 34, Петрово-Красносілля, 86300",+380 32 288 71 51,rudykpriska@example.com
Нестайко,Хома,Сергійович,Чоловіча,25.08.1967,Мовознавець,хутір Іловайськ,"площа Слобідська, буд. 0, Красноперекопськ, 93148",+380 (40) 394-63-61,albina19@example.org
Назаренко,Веніямин,Денисович,Чоловіча,06.05.2004,Продюсер,хутір Підгайці,"узвіз Лютеранський, буд. 13, Роздільна, 15794",796 89 29,niushchenko@example.org
Онуфрієнко,Панас,Петрович,Чоловіча,08.08.1949,Громадський діяч,село Барвінкове,"провулок Чорноморська, буд. 809 кв. 8, Перечин, 51425",+380 (99) 571-18-40,babakiosyp@example.org
Тягнибок,Спас,Андрійович,Чоловіча,06.07.1979,Бібліотекар,село Харцизьк,"узвіз Метрополітенівський, буд. 88 кв. 63, Новоукраїнка, 81238",658 32 25,mykolaikorsun@example.net
Артимович,Веніямин,Артемович,Чоловіча,09.01.1998,Маркетолог,хутір Монастирище,"набережна 411-ї батареї, буд. 1 кв. 225, Канів, 23391",+380 22 622-39-80,spas24@example.org
Примаченко,Віра,Андріївна,Жіноча,10.02.1993,Підприємець,хутір Синельникове,"шосе Новікова 2-га, буд. 180, Тиврів, 69267",+380 96 774-82-85,nataliia18@example.org
Акименко,Мілена,Денисівна,Жіноча,02.01.1999,Письменник,селище Чернігів,"площа Пастера, буд. 10 кв. 364, Новогродівка, 13273",+380 (06) 154-25-86,iaroshokhrim@example.org
Верес,Лесь,Ярославович,Чоловіча,27.11.1994,Ветеринар,місто Іловайськ,"вулиця Лиманчик 2-й Лінія 3-тя, буд. 35, Комарно, 87111",007 009-23-50,volodymyragerega@example.com
Рак,Аркадій,Ярославович,Чоловіча,04.05.1994,Музичний редактор,селище Нова Каховка,"провулок Деревообробний 5-й, буд. 1 кв. 976, Липовець, 11556",+380 20 108-21-55,arkadiikanivets@example.org
Гайворонський,Богодар,Денисович,Чоловіча,27.08.1987,Антрополог,місто Ірпінь,"набережна Саксаганського, буд. 064 кв. 28, Краматорськ, 39272",704-43-79,telizhenkotereza@example.net
Єрмоленко,Орхип,Васильович,Чоловіча,30.01.1992,Ювелір,місто Нова Одеса,"провулок Буніна, буд. 102 кв. 15, Ананьїв, 51577",069 073-91-74,omelianchuiko@example.net
Дрозденко,Марко,Сергійович,Чоловіча,28.05.2003,Електротехнік,селище Переяслав,"шосе Стовпова, буд. 34 кв. 25, Березівка, 94894",+380 95 195-18-58,ifastenko@example.com
Жученко,Галина,Андріївна,Жіноча,18.01.1979,Машиніст,місто Ромни,"шосе Польський узвіз, буд. 952, Монастириська, 51545",+380 96 693 76 90,andriiovychprokhir@example.org
Коваленко,Вадим,Михайлович,Чоловіча,05.02.1951,Клавішник,місто Харків,"узвіз Нерубайська, буд. 60 кв. 564, Курахове, 80003",+380 55 780 27 88,erika63@example.net
Гречко,Теодор,Андрійович,Чоловіча,13.03.2001,Електротехнік,селище Корюківка,"парк Таїрова, буд. 9, Південне , 92204",+380 21 692-25-49,deriazhnyimyroslav@example.net
Яценко,Олекса,Васильович,Чоловіча,06.07.1972,Патологоанатом,село Сніжне,"площа Студентський 2-й, буд. 535 кв. 024, Галич, 22809",623-12-31,emiliia22@example.net
Онуфрієнко,Євген,Ярославович,Чоловіча,22.10.1963,Пілот,хутір Носівка,"парк Пестеля, буд. 032 кв. 5, Радехів, 43658",+380 62 762-26-89,aaronarsenych@example.org
Даньків,Анастасія,Ярославівна,Жіноча,17.09.1956,Маркетолог,селище Дунаївці,"вулиця Амбулаторний 2-й, буд. 031 кв. 03, Кам'янка-Дніпровська, 95480",081 578 33 65,marusia55@example.org
Фартушняк,Веніямин,Петрович,Чоловіча,30.06.1948,Парфюмер,місто Богуслав,"узвіз Вокзальна, буд. 9 кв. 395, Новомиргород, 59410",710 65 31,rudkoorkhyp@example.net
Власенко,Спас,Олегович,Чоловіча,03.06.2008,Ювелір,хутір Погребище,"набережна Газовий, буд. 597, Білопілля, 18102",075 517 01 65,ghrytsenko@example.com
Охріменко,Ярослав,Сергійович,Чоловіча,08.01.1981,Ветеринар,місто Червоносів,"узвіз Зелена балка, буд. 48 кв. 3, Берестечко, 04069",+380 39 282-75-45,danchenkoemiliia@example.net
Мазепа,Лукʼян,Васильович,Чоловіча,29.11.1948,Електрослюсар,селище Докучаєвськ,"набережна Дунаєвського 1-й, буд. 341 кв. 50, Селидове, 91398",084 224-60-10,marusiakorzh@example.net
Бабак,Ольга,Андріївна,Жіноча,14.01.2004,Локсмайстер,село Стебник,"шосе Мічуріна, буд. 654 кв. 36, Жовті Води, 27481",+380 65 227-31-46,mtsiupa@example.org
Перепелиця,Онисим,Іванович,Чоловіча,09.02.1961,Астроном,місто Гнівань,"вулиця Лінія 39-та, буд. 754, Пологи , 60618",+380 35 661-77-71,mykolaizhuchenko@example.org
Шеремета,Мілена,Денисівна,Жіноча,05.06.2000,Євнух,місто Чигирин,"вулиця Керченський 3-й, буд. 16 кв. 331, Першотравенськ, 97015",+380 79 195-76-05,hannazaiets@example.com
Гайденко,Ігор,Сергійович,Чоловіча,19.06.1960,Кіноактор,місто Золоте,"узвіз Гранатна, буд. 858, Бровари, 56707",401 22 49,milena37@example.org
Коваленко,Одарка,Артемівна,Жіноча,13.11.1946,Каскадер,місто Гадяч,"провулок Студентський, буд. 8 кв. 9, Перечин, 88558",541 08 08,marianafilipenko@example.net
Бездітко,Марта,Артемівна,Жіноча,19.11.2003,Програміст,село Сулимівка (Слов'янськ),"проспект Нафтовиків, буд. 661, Чистякове, 18993",+380 47 106-68-09,bfartushniak@example.net
Журавель,Оксана,Михайлівна,Жіноча,14.04.1960,Ді-джей,хутір Тисмениця,"провулок Студентський 5-й, буд. 1 кв. 20, Ананьїв, 37571",605 23 57,bromanchuk@example.net
Лесик,Варфоломій,Іванович,Чоловіча,13.07.1991,Правник,місто Куп'янськ,"парк Корнюшина, буд. 993, Бережани, 09799",484-44-82,atroshchenkoorest@example.org
Верховинець,Ірина,Андріївна,Жіноча,28.03.1940,Економіст,селище Дружківка,"сквер Володимира Хавкіна, буд. 06, Помічна, 36851",048 873 47 83,kostiantynteslia@example.net
Примаченко,Ярина,Іванівна,Жіноча,01.02.2006,Професор,хутір Золочів,"сквер Люстдорфський, буд. 1 кв. 018, Гнівань, 97983",+380 96 632-50-25,trokhym57@example.com
Мірошниченко,Симон,Ярославович,Чоловіча,19.10.2002,Каскадер,місто Знам'янка,"провулок Лузанівка, буд. 9 кв. 30, Бершадь, 15060",011-31-48,dankoroksolana@example.com
Атаманчук,Левко,Михайлович,Чоловіча,14.04.1985,Ветеринар,село Жашків,"сквер Олександра Кутузакія, буд. 79 кв. 67, Ялта, 20364",+380 55 154 23 79,olena60@example.net
Оберемко,Соломон,Артемович,Чоловіча,25.05.1990,Петрограф,село Тячів,"сквер Сергія Уточкіна, буд. 09 кв. 8, Макіївка, 06528",054 411 08 85,volodymyra32@example.org
Міщенко,Левко,Олегович,Чоловіча,30.09.1954,Графік,місто Долинська,"набережна Амурська, буд. 9, Бережани, 74704",+380 17 795-05-66,tdashenko@example.com
Артеменко,Мілена,Ярославівна,Жіноча,06.11.1952,Фермер,хутір Білицьке,"проспект 11-та Суворовська, буд. 216, Шпола, 68765",177-26-20,iashchukvasylyna@example.org
Баклан,Аліна,Михайлівна,Жіноча,24.01.1976,Клавішник,селище Ічня,"шосе Варненська, буд. 8 кв. 825, Бібрка, 35937",045 466-41-34,izhakdaryna@example.net
Андрощук,Адам,Петрович,Чоловіча,10.07.1983,Перекладач,село Ланівці,"сквер Слєпньова, буд. 8, Ірміно, 03271",+380 99 339 54 85,iiakovenko@example.org
Давимука,Єлисей,Олегович,Чоловіча,24.08.1973,Секретар,місто Житомир,"площа Кренкеля, буд. 344 кв. 87, Корець, 64268",117 43 36,turkaloadam@example.org
Симоненко,Лукʼян,Васильович,Чоловіча,13.06.1989,Соціолог,місто Вільнянськ,"набережна Соляний 5-й, буд. 99, Козятин, 08983",053 590 89 53,alekseienkodmytro@example.org
Романчук,Ярослав,Андрійович,Чоловіча,09.03.1957,Парфюмер,місто Лисичанськ,"шосе Просвіти, буд. 4 кв. 3, Калинівка , 80855",829-99-98,bezborodkooryna@example.com
Якименко,Пріска,Олегівна,Жіноча,21.09.1954,Літературознавець,селище Краматорськ,"набережна Котляревського, буд. 0 кв. 5, Макіївка, 40715",+380 31 926 01 32,ieremenkosviatoslava@example.org
Баранник,Ірина,Сергіївна,Жіноча,04.10.1969,Науковець,село Жмеринка,"вулиця Старицького, буд. 0, Рахів, 55448",867 53 90,olesokhrymovych@example.com
Заруба,Володимира,Андріївна,Жіноча,05.06.2007,Клавішник,місто Гребінка,"провулок Косовський, буд. 62, Соледар, 64207",004 237 41 47,piarema@example.net
Лавренко,Хома,Васильович,Чоловіча,24.07.1993,Мікробіолог,село Рені,"узвіз Добровольського, буд. 0 кв. 4, Білицьке, 60314",+380 32 987-12-88,dmytro00@example.com
Жайворон,Назар,Васильович,Чоловіча,07.11.1978,Візажист,хутір Бучач,"набережна Садова 1-ша, буд. 857 кв. 2, Жмеринка, 89679",007 852 58 12,khomykdan@example.net
Штепа,Ілля,Олегович,Чоловіча,25.03.1995,Композитор,хутір Славутич,"узвіз Пейзажна, буд. 16 кв. 306, Погребище, 41793",+380 97 324 00 13,vzhurba@example.net
Лазаренко,Венедикт,Михайлович,Чоловіча,27.07.1946,Льотчик,село Березань ,"узвіз Таїрова, буд. 248 кв. 80, Борзна, 68810",465 10 62,ihor69@example.net
Ткач,Кирило,Сергійович,Чоловіча,21.02.1957,Дерун,селище Остер ,"вулиця Перлинна, буд. 2, Шаргород, 23306",014 00 30,hennadii49@example.com
Засенко,Оксана,Ярославівна,Жіноча,13.09.1942,Ді-джей,село Кременчук,"провулок Старокінний, буд. 381, Новояворівськ, 19637",995 73 16,kozachenkopriska@example.org
